app_name,initial_avg_cpu_80,limited_avg_cpu_80,cpu_usage_change_80,initial_avg_cpu_50,limited_avg_cpu_50,cpu_usage_change_50,initial_avg_cpu,limited_avg_cpu_30,cpu_usage_change_30
fontd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fontworker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
iCloudNotificationAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iStat Menus Status,1.04,1.08,0.040000000000000036,1.04,1.1800000000000002,0.14000000000000012,1.04,1.1199999999999999,0.07999999999999985
iStatMenusAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icdd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iconservicesagent,0.0,0.0,0.0,0.0,,,0.0,0.02,0.02
identityservicesd,0.02,0.0,-0.02,0.02,0.02,0.0,0.02,0.02,0.0
imagent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imklaunchagent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intelligentroutingd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intents_helper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboardservicesd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knowledge-agent,0.04,0.1,0.060000000000000005,0.04,0.04,0.0,0.04,0.1,0.060000000000000005
lockoutagent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loginwindow,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02
lsd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mapssyncd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbuseragent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdbulkimport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdworker_shared,0.011111111111111112,0.012500000000000002,0.001388888888888891,0.011111111111111112,0.025,0.01388888888888889,0.011111111111111112,0.015384615384615385,0.004273504273504274
mdwrite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mediaanalysisd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
mediaremoteagent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mscamerad-xpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neagent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
networkserviceproxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsurlsessiond,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.06,0.06
parsecd,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0
passd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photolibraryd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proactived,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptpcamerad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
python3.11,0.09555555555555555,0.12000000000000001,0.024444444444444463,0.09555555555555555,0.15333333333333335,0.0577777777777778,0.09555555555555555,0.13777777777777778,0.04222222222222223
rapportd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replayd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reversetemplated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
routined,0.0,0.02,0.02,0.0,0.04,0.04,0.0,0.02,0.02
searchpartyuseragent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
secd,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.02
secinitd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seserviced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharedfilelistd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharingd,0.04,0.04,0.0,0.04,0.1,0.060000000000000005,0.04,0.12000000000000002,0.08000000000000002
storeaccountd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
storedownloadd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
storeuid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suggestd,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0
swcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08
syncdefaultsd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tccd,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02
translationd,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0
triald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trustd,0.0,0.02,0.02,0.0,0.04,0.04,0.0,0.08,0.08
universalAccessAuthWarn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
universalaccessd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
useractivityd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
usernoted,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02
usernotificationsd,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0
